"lat_dec","lon_dec","hour_dec","boatspeed_mph","turbidity_ntu","sp_cond_ms_cm","pH","wtemp_c","B3","B4","ndti","ndti_flag","class"
33.75016,-98.38375,9.839291,20.9,14.19202,613.8354,8.8,29.7389,853,546,-0.2194425,0,"water"
33.75022,-98.38368,9.83955,20.86178,14.07551,613.9127,8.8,29.74485,874,532,-0.2432432,0,"water"
33.75028,-98.3836,9.839807,20.76957,13.96348,613.9181,8.8,29.75,866,533,-0.2380272,0,"water"
33.75034,-98.38352,9.840058,20.7,13.94234,613.866,8.8,29.74827,860,544,-0.2250712,0,"water"
33.75041,-98.38345,9.840316,20.68628,13.97827,613.8,8.8,29.74007,906,566,-0.2309783,0,"water"
33.75047,-98.38337,9.840571,20.6,13.98701,613.8044,8.8,29.72938,888,593,-0.1991897,0,"water"
33.75054,-98.3833,9.840834,20.6,13.96337,613.8837,8.8,29.71831,888,593,-0.1991897,0,"water"
33.7506,-98.38322,9.841082,20.6,13.97527,613.9878,8.8,29.71237,904,562,-0.2332879,0,"water"
33.75068,-98.38315,9.841338,20.6,14.00664,614.0272,8.8,29.70894,904,580,-0.2183288,0,"water"
33.75074,-98.38308,9.841592,20.67299,14.0182,613.9968,8.8,29.70347,912,588,-0.216,0,"water"
33.75081,-98.38301,9.841852,20.7,13.971,613.9276,8.8,29.69944,898,563,-0.229295,0,"water"
33.75087,-98.38293,9.842108,20.93668,13.91413,613.9,8.8,29.69439,894,579,-0.2138493,0,"water"
33.75094,-98.38286,9.842361,21.50059,13.8708,613.9,8.8,29.69,880,553,-0.2281926,0,"water"
33.75101,-98.38279,9.842611,22.13984,13.84667,613.9,8.8,29.68567,886,550,-0.2339833,0,"water"
33.75107,-98.38272,9.842856,22.6407,13.83979,613.9234,8.8,29.68073,870,564,-0.2133891,0,"water"
33.75114,-98.38265,9.843097,23.04386,13.82988,614.0004,8.8,29.67736,872,562,-0.2161785,0,"water"
33.75121,-98.38257,9.843328,23.29464,13.80063,614.0979,8.8,29.67179,864,561,-0.2126316,0,"water"
33.75127,-98.3825,9.843557,23.70359,13.79865,614.1269,8.8,29.66897,868,556,-0.2191011,0,"water"
